Source,Target,Type,Industry
451915731,kunstig intelligens,Undirected,innsikt og lokal ekspertise.
451915731,prosjekteringsledelse,Undirected,innsikt og lokal ekspertise.
451915556,analysere data,Undirected,innsikt og lokal ekspertise.
451915556,controlling,Undirected,innsikt og lokal ekspertise.
451915556,likviditetsstyring,Undirected,innsikt og lokal ekspertise.
451915556,risikostyring,Undirected,innsikt og lokal ekspertise.
451795717,account management,Undirected,IT - programvare
451795717,regulatory compliance,Undirected,IT - programvare
451795717,tolke data,Undirected,IT - programvare
451646040,datadrevet markedsføring,Undirected,Butikk og varehandel
451646040,digital annonsering,Undirected,Butikk og varehandel
451646040,google analytics,Undirected,Butikk og varehandel
451639945,informatikk,Undirected,Forskning
451639945,store språkmodeller,Undirected,Forskning
451639945,vitenskapelig forskning,Undirected,Forskning
451375006,administrere data,Undirected,Bygg og anlegg
451375006,digitalisering,Undirected,Bygg og anlegg
451495647,installasjon,Undirected,Industri og produksjon
451495647,support / brukerstøtte,Undirected,Industri og produksjon
450555901,informatikk,Undirected,Elektronikk
450555901,moderne software-utvikling,Undirected,Elektronikk
450555901,python (dataprogrammering),Undirected,Elektronikk
450555901,robotikk,Undirected,Elektronikk
451379577,analysere data,Undirected,IT
